Share,Last Traded Price,High Price,Low Price,Close,Volume,Open
20MICRONS,43,123,123,123,0.532215284,558.3
3IINFOTECH,5.35,123,123,123,1.16451032,558
3MINDIA,12219.65,12399.95,12115,12115,1.041870422,549.48
63MOONS,75.6,76.7,75.6,75.6,1.25,536.31
8KMILES,623.9,640,624,624,4.816666174,524.12
A2ZINFRA,47.85,50.5,47.8,47.8,3.064998246,521.02
Aarti Drugs,533.65,543.75,531,531,0.562902246,519.52
AARTIIND,865,874.9,866,866,2.253752953,517.6
AARVEEDEN,71.05,123,123,123,0.221407078,519.23
ABAN,219.3,222.9,220.1,220.1,26.44882155,519.03
ABB,1601.95,1602,1526,1526,9.529869221,524.99
ABBOTINDIA,4206.45,4323,4206.45,4206.45,2.998834741,526.58
ABFRL,158.15,164.3,158.9,158.9,6.536657377,522.81
ABIRLANUVO,1692.6,1713.45,1684.35,1684.35,47.01065189,518
ABMINTLTD,184.8,123,123,123,0.001100206,517.67
ACC,1690.35,1722.95,1690.1,1690.1,45.09825559,519.99
ACCELYA,1488.2,123,123,123,0.817927171,514.58
ACE,68.3,68.9,66.8,66.8,1.58238048,519.58
ADANIENT,122.8,126.8,117.4,117.4,36.11452085,524.15
ADANIPORTS,351.9,358.9,350.5,350.5,95.31158733,524.58
ADANIPOWER,31.1,31.35,30.7,30.7,34.36381292,521.1
ADANITRANS,75.8,83.35,75.65,75.65,4.624903103,524.02
ADFFOODS,258.7,299.4,260.4,260.4,1.780311943,525
ADHUNIK,6.75,123,123,123,0.167650018,519.61
ADHUNIKIND,109.65,123,123,123,0.379439635,536.27
ADLABS,83.8,90.2,84.15,84.15,3.558492212,529.04
ADORWELD,334.8,123,123,123,0.103375839,531.32
ADSL,28.8,123,123,123,0.279938245,525
ADVANIHOTR,60.9,123,123,123,0.091972993,519
ADVENZYMES,1961.95,1979,1925,1925,20.45920053,526.41
AEGISCHEM,184.7,193.8,185.15,185.15,7.176010736,511.77
AFL,60.1,123,123,123,0.267391104,505.99
